id,question,letter,answer,img
420,Wskaż FAŁSZYWE stwierdzenie dotyczące normalizacji sygnału dźwiękowego,C,Jeśli najgłośniejszy fragment dźwięku osiąga połowę skali wszystko zostanie pogłośnione razy dwa - czyli tak aby najgłośniejszy fragment osiągnął maksimum na skali,0
421,Wskaż PRAWDZIWE stwierdzenie dla polecenia: CREATE TABLE IF NOT EXISTS ADRES(ulica VARCHAR(70) CHARACTER SET utf8);,D,IF NOT EXISTS stosuje się opcjonalnie aby upewnić się że brak w bazie danych takiej tabeli,0
422,Jak działa instrukcja łącząca wyniki zapytań INTERSECT w języku SQL?,D,Zwraca część wspólną wyników dwóch zapytań.,0
423,W języku SQL dla dowolnych zestawów danych w tabeli Uczniowie aby wybrać rekordy które zawierają wyłącznie uczennice o imieniu "Aleksandra" urodzone po roku "1998" należy zapisać zapytanie,A,SELECT * FROM Uczniowie WHERE imie="Aleksandra" AND rok_urodzenia > "1998";,0
424,Którą relację w projekcie bazy danych należy ustalić między tabelami widocznymi na rysunku zakładając że każdy klient sklepu internetowego dokona przynajmniej dwóch zamówień?,B,1:n gdzie 1 jest po stronie Klienta a wiele po stronie Zamówienia,1
425,Wyszukując z tabeli Pracownicy wyłącznie nazwiska w których ostatnią literą jest "i" można użyć kwerendy SQL,C,SELECT nazwisko FROM Pracownicy WHERE nazwisko LIKE "%i";,0
426,W celu dodania rekordu do tabeli Pracownicy należy użyć polecenia SQL,A,INSERT INTO Pracownicy VALUES ("Jan" "Kowalski");,0
427,W języku SQL w wyniku wykonania zapytania ALTER TABLE osoba DROP COLUMN grupa; zostanie,B,usunięta kolumna grupa,0
428,Właściwym zestawem kroków według kolejności które należy wykonać w celu nawiązania współpracy między aplikacją internetową po stronie serwera a bazą SQL jest,D,nawiązanie połączenia z serwerem baz danych wybór bazy zapytanie do bazy - wyświetlane na stronie WWW zamknięcie połączenia,0
429,Do poprawnego i spójnego działania bazy danych niezbędne jest umieszczenie w każdej tabeli,D,klucza PRIMARY KEY z wartością NOT NULL i UNIQUE,0
430,W języku PHP dla zmiennych a = 5 i b = 3 wartość typu zmiennoprzecinkowego zwróci wyrażenie,C,a / b,0
431,Wartość i typ zmiennej w języku PHP można sprawdzić za pomocą funkcji,B,var_dump(),0
432,W języku JavaScript zdefiniowana zmienna i która ma przechowywać wynik dzielenia wynoszący 1 to,C,var i=parseInt(3/2);,0
433,Wskaż BŁĘDNY opis optymalizacji kodu wynikowego programu,C,Jej celem jest sprawdzenie zgodności z wymogami formalnymi,0
434,Podaj wynik działania programu zapisanego w języku JavaScript znajdującego się w ramce po podaniu na wejściu wartości 5,B,120,1
435,W języku PHP chcąc wyświetlić ciąg n znaków @ należy użyć funkcji,D,D,1
436,Językami programowania działającymi po stronie serwera są:,B,Java C# Python Ruby PHP,0
437,Instrukcja przypisania elementu do tablicy w języku JavaScript dotyczy tablicy,B,asocjacyjnej,1
438,Jakie elementy wypisze funkcja wypisz(2) stworzona w języku JavaScript?,D,3 4 6,1
439,W formularzu dokumentu PHP istnieje pole <input name="im" />. Po wprowadzeniu przez użytkownika ciągu znaków "Janek" w celu dodania zawartości pola do bazy danych w tablicy $_POST zawarty jest element,B,Janek o indeksie im,0
440,W celu zmodyfikowania tekstu "ala ma psa" na "ALA MA PSA" należy użyć funkcji PHP,A,strtoupper("ala ma psa");,0
441,W kodzie JavaScript pętla zostanie wykonana,B,3 razy,1
442,Poprawne udokumentowanie wzorca weryfikacji pola nazwa w części kodu aplikacji JavaScript to,D,/* Pole nazwa może zawierać dowolny ciąg cyfr (z wyłączeniem 0) następnie musi zawierać dużą literę i ciąg minimum dwóch małych liter. */,1
443,Włączenie do kodu skryptu zawartości pliku egzamin.php zawierającego kod PHP wymaga dodania instrukcji,D,include("egzamin.php");,0
444,Automatyczna weryfikacja właściciela strony udostępnianej przez protokół HTTPS jest możliwa dzięki,B,certyfikatowi SSL,0
445,Deklaracja typu dokumentu HTML: oznacza że kod jest napisany w wersji,B,5,0
446,Dołączenie zewnętrznego arkusza stylów do kodu HTML jest realizowane przy użyciu znacznika,B,<link>,0
447,Który z rysunków obrazuje efekt działania przedstawionego fragmentu kodu HTML?,C,C,1
448,Przedstawione pole input umożliwi,B,zaznaczenie opcji,1
449,W języku HTML zdefiniowano hiperłącze ze znakiem #. Co stanie się po wybraniu przedstawionego odsyłacza?,D,Strona przewinie się do elementu o wartości id równej dane,1
450,Podana definicja stylu CSS sprawi że nagłówki pierwszego stopnia będą,D,wyśrodkowane pisane wielkimi literami a odstępy między literami będą ustawione na 10 px,1
451,Jak zdefiniować w języku CSS formatowanie hiperłącza żeby nieodwiedzony link był w kolorze żółtym a odwiedzony w kolorze zielonym?,D,a:link {color: yellow;} a:visited{color: green;},0
452,W języku CSS zdefiniowano formatowanie dla stopki. Aby użyć tego formatowania dla bloku opisanego znacznikiem div należy zapisać,B,<div id="stopka">,0
453,Przedstawiono efekt formatowania CSS oraz kod HTML. Jak należy zdefiniować styl aby osiągnąć takie formatowanie?,C,p::first-line {font-size: 200%; color:brown;},1
454,Przedstawione formatowanie CSS sprawi że dla prezentowanego nagłówka trzeciego stopnia,B,tło będzie pomarańczowe,1
455,W języku XHTML zapisano fragment kodu który zawiera błąd walidacji. Na czym polega ten błąd?,A,Znacznik <br> powinien być zamknięty,1
456,Kolor zapisany kodem heksadecymalnym: #1510FE w kodzie RGB będzie miał wartość,C,rgb(2116254),0
457,Edytując grafikę w edytorze grafiki rastrowej należy pozbyć się kolorów z rysunku tak aby obraz był w odcieniach szarości. Można do tego efektu wykorzystać funkcję,A,desaturacji,0
458,W edytorze grafiki wektorowej stworzono przedstawiony kształt który powstał z dwóch figur: trójkąta i koła. W celu stworzenia tego kształtu po narysowaniu figur i odpowiednim ich ustawieniu należy skorzystać z funkcji,A,sumy,1
459,Aby zapisać prostą animację na potrzeby strony internetowej można skorzystać z formatu,A,GIF,0
460,Tworząc tabelę w języku SQL zdefiniowano dla kolumny klucz główny. Aby zabezpieczyć ją przed wstawieniem wartości pustej należy zastosować atrybut,D,NOT NULL,0
461,Dana jest tabela mieszkania zawierająca kolumny o nazwach: adres metraz ile_pokoi standard status cena. Wykonanie przedstawionej kwerendy SQL SELECT sprawi że zostaną wyświetlone,B,Metraż oraz cena tych mieszkań które mają więcej niż 3 pokoje,1
462,Do tabeli pracownicy wpisano rekordy. Co zostanie wyświetlone po uruchomieniu kwerendy SQL SELECT podanej w ramce?,C,Wartość 10000 czyli suma pensji pracownika o id=4 oraz o id=6,1
463,Na przedstawionej tabeli samochody wykonano zapytanie SQL: SELECT model FROM samochody WHERE rocznik=2016; W wyniku podanego zapytania zostaną zwrócone następujące wartości:,C,Punto Corsa Corolla,1
464,Baza danych ma dwie tabele połączone relacją 1..n. Którą klauzulą SQL należy połączyć tabele aby wybrać korespondujące ze sobą wartości z pól obu tabel?,C,JOIN,0
465,Zdefiniowanie klucza obcego jest niezbędne do utworzenia,B,relacji 1..n,0
466,Zgodnie z właściwościami ACID dotyczącym wykonania transakcji wymaganie trwałości (ang. durability) oznacza że,D,dane zatwierdzone przez transakcję powinny być dostępne niezależnie od tego co się będzie działo po jej zakończeniu,0
467,Baza danych zawiera tabelę faktury o polach: numer data id_klienta wartość status. Każdego dnia generowany jest raport faktur z bieżącego dnia. Wyświetlane są jedynie numery i wartości faktur. Która z kwerend SQL służy do stworzenia tego raportu?,D,SELECT numer wartosc FROM faktury WHERE data=CURRENT_DATE();,0
468,Polecenie SQL które usuwa bazę danych o nazwie firma ma postać,C,DROP DATABASE firma;,0
469,Zastosowanie kwerendy SQL: DELETE FROM mieszkania WHERE status=1; spowoduje usunięcie,C,rekordów w których pole status jest równe 1 z tabeli mieszkania,0
470,Aby przywrócić bazę danych z kopii bezpieczeństwa na serwerze MSSQL należy posłużyć się poleceniem,C,RESTORE DATABASE,0
471,W języku SQL wykonano przedstawione w ramce polecenia GRANT. Kto będzie miał prawo do przeglądania danych oraz ich zmiany?,B,Tylko Tomasz,1
472,W języku PHP zastosowano funkcję is_int(). Które z podanych wywołań tej funkcji zwróci wartość TRUE?,D,is_int(135),0
473,W języku JavaScript należy zapisać warunek który będzie spełniony gdy zmienna a będzie dowolną liczbą naturalną dodatnią (bez 0) lub gdy zmienna b będzie dowolną liczbą z przedziału domkniętego od 10 do 100. Użyte w tym warunku wyrażenie logiczne będzie miało postać,C,(a>0) || ((b>=10) && (b<=100)),0
474,Dla każdej iteracji pętli wartość bieżącego elementu tablicy jest przypisywana do zmiennej a wskaźnik tablicy jest przesuwany o jeden aż do ostatniego elementu tablicy. Zdanie to jest prawdziwe dla instrukcji,D,foreach,0
475,W języku JavaScript wynik działania instrukcji zmienna++; będzie taki sam jak instrukcji,B,zmienna+=1;,0
476,W języku PHP zmienna predefiniowana $_SESSION zawiera,A,zmienne zarejestrowane w bieżącej sesji,0
477,Przedstawiony kod źródłowy ma za zadanie wyświetlić,D,losowe liczby od 0 do 100 tak długo aż nie zostanie wylosowana wartość 0,1
478,W języku JavaScript należy odwołać się do elementu zawartego w pierwszym paragrafie przedstawionego fragmentu strony HTML. Można to wykonać za pomocą funkcji,C,getElementByTagName("p")[0];,1
479,O przedstawionym obiekcie języka JavaScript można powiedzieć że ma,D,dwie właściwości i jedną metodę,1
480,W języku JavaScript stworzono funkcję o nazwie liczba_max porównującą trzy liczby naturalne pobrane z parametrów funkcji i zwracającą maksymalną z nich. Prawidłowe wywołanie takiej funkcji wraz z pobraniem jej wyniku będzie miało postać,D,var wynik=liczba_max(abc);,0
481,Które z zadań programistycznych powinno być wykonane po stronie serwera?,B,Zapisanie danych pobranych z aplikacji internetowej w bazie danych,0
482,Język JavaScrypt ma obsługę,A,obiektów DOM,0
483,W prezentowanym kodzie PHP w miejscu kropek powinno znaleźć się polecenie,A,mysqli_fetch_row($zapytanie);,1
484,Który z elementów dokumentacji aplikacji powinien znaleźć się w dokumentacji użytkownika?,B,Opis obsługi funkcji systemu,0
485,Znacznik <s> w języku HTML powoduje,D,przekreślenie tekstu,0
486,Metainformacja "Description" zawarta w pliku źródłowym HTML powinna zawierać,A,opis co znajduje się na stronie,1
487,Który opis odnosi się do metody POST wysyłania formularza?,D,Jest wskazana gdy przesyłane są informacje poufne np. hasło numer telefonu czy numer karty kredytowej,0
488,Atrybut value w polu formularza XHTML,D,wskazuje odpowiedź domyślną,1
489,W języku HTML zapis < spowoduje wyświetlenie w przeglądarce znaku,D,<,0
490,Przy użyciu jakiego znacznika HTML otrzymamy tekst napisany czcionką o stałej szerokości znaku który uwzględnia dodatkowe spacje tabulacje i znaki końca linii?,B,<pre> ... </pre>,0
491,W celu uzyskania efektu widocznego na rysunku w kodzie HTML należy umieścić znacznik skrótu z atrybutem,C,title,1
492,W HTML aby wstawić obrazek z tekstem przyległym znajdującym się pośrodku obrazka należy zapisać znacznik,B,<img src="/obrazek.png" alt="obraz2" align="middle"> tekst,0
493,Który styl CSS pozwoli zdefiniować wyrównanie tekstu do prawej strony?,D,<p style="text-align: right">tekst</p>,0
494,Przedstawiono kod tabeli 3x2. Której z modyfikacji w jej drugim wierszu należy dokonać aby tabela wyglądała jak na obrazku z niewidocznym wierszem?,C,<tr style="visibility: hidden">,1
495,Który zapis znacznika <div> może wystąpić w dokumencie HTML tylko jeden raz a ponowne użycie tego zapisu spowoduje wygenerowanie błędów podczas walidacji dokumentu?,B,<div id="identyfikator">,0
496,Przedstawiona linia kreskowana w stylu obramowania CSS jest określona właściwością,D,dashed,1
497,Systemem zarządzania treścią pozwalającym na łatwe utworzenie i aktualizację serwisu WWW jest,A,CMS,0
498,W podanym kodzie HTML przedstawiony styl CSS jest stylem,D,lokalnym,1
499,Kolor zapisany w notacji heksadecymalnej #0000FF to,C,niebieski,0
500,Które stwierdzenie odnosi się do skalowania obrazu?,C,Powoduje zmianę rozmiaru obrazu bez zmieniania ważnej zawartości wizualnej,0
501,W języku HTML atrybutem znacznika video który włącza tryb odtwarzania w kółko jest,A,loop,0
502,W języku HTML aby dodać animację FLASH (z rozszerzeniem .swf) na stronę internetową należy użyć znacznika,D,< object >,0
503,Formatem plików dźwiękowych z kompresją bezstratną jest,C,FLAC,0
504,Na tabeli muzyka przedstawionej na rysunku zostało wykonane następujące zapytanie SQL. Jaki wynik zwróci ta kwerenda?,B,pusty wynik,1
505,Jaki wynik zwróci zapytanie z ramki wykonane na przedstawionej tabeli?,C,3,1
506,W relacyjnym modelu baz danych krotkami nazywa się,D,wiersze tabeli z wyjątkiem wiersza nagłówkowego w którym umieszcza się nazwy kolumn,0
507,Co można powiedzieć o normalizacji przedstawionej tabeli?,A,Tabela nie jest znormalizowana,1
508,Które zapytanie SQL dla tabeli pracownicy utworzonej według schematu: id imie nazwisko plec zarobek obliczy osobno średni zarobek kobiet i średni zarobek mężczyzn?,A,SELECT AVG(zarobek) FROM pracownicy GROUP BY plec;,0
509,Które polecenie SQL zamieni w tabeli tab w kolumnie kol wartość Ania na Zosia?,A,UPDATE tab SET kol='Zosia' WHERE kol='Ania';,0
510,Aby w tworzonej w języku SQL tabeli praca dodać w kolumnie stawka warunek że musi przyjmować rzeczywiste wartości dodatnie mniejsze od 50 należy użyć zapisu,C,... stawka float CHECK(stawka>0 AND stawka<50.00),0
511,W jaki sposób wykonanie podanej w ramce kwerendy SQL wpłynie na tabelę pracownicy?,A,Zmieni typ danych kolumny plec na znakowy o stałej długości 9,1
512,Wykonując raport w systemie obsługi relacyjnych baz danych umożliwia się,A,analizę wybranych danych,0
513,Przedstawiona instrukcja JavaScript wyświetli,D,false,1
514,Która wartość tekstowa nie pasuje do podanego w ramce wzorca wyrażenia regularnego?,C,Jelenia Góra,1
515,Który modyfikator wskazuje podany opis?,C,private,1
516,Tworzenie i przypisanie do zmiennej tablicy asocjacyjnej zrealizuje się w PHP zapisem,D,$tab = array ("a" => 1 "b" => 2 "c" => 3);,0
517,W której technologii nie jest możliwe przetwarzanie danych użytkownika wprowadzanych na stronie WWW?,A,CSS,0
518,W programowaniu obiektowym w języku JavaScript użyty w przedstawionym kodzie zapis: this.zawod oznacza,B,metodę,1
519,W języku PHP sumę logiczną oznacza operator,B,||,0
520,W jakim formacie będzie wyświetlana data po uruchomieniu przedstawionego kodu?,D,Monday 10th July 2017,1
521,Wynikiem działania pętli for w przedstawionym kodzie PHP jest wyświetlenie liczb,B,1 1,1
522,W JavaScript wywołanie zdarzenia onKeydown nastąpi wtedy gdy klawisz,C,klawiatury został naciśnięty,0
523,Po wykonaniu przedstawionego kodu JavaScript wyświetli się wartość,C,13,1
524,Wciśnięcie przycisku o treści "niebieski" spowoduje wykonanie przedstawionego kodu JavaScript. Jaki będzie efekt jego działania?,C,Zmiana koloru tekstu "Przykładowy tekst" na niebieski,1
525,Którego znacznika nie należy umieszczać w nagłówku dokumentu HTML?,A,<h2>,0
526,Znacznik języka HTML który służy do oznaczenia fragmentu tekstu jako kodu komputerowego to,C,<code> </code>,0
527,W języku HTML dla hiperłącza wartość atrybutu target która odpowiada za załadowanie strony do nowego okna lub karty to,B,_blank,0
528,Znacznik <ins> w języku HTML służy do oznaczenia,C,tekstu który został dodany.,0
529,Do określenia listy definicji w kodzie HTML używa się znacznika,A,<dl>,0
530,Jaki rezultat zostanie wyświetlony po wykonaniu przedstawionego kodu HTML?,D,D,1
531,W języku HTML aby scalić w pionie dwie sąsiednie komórki w kolumnie tabeli należy zastosować atrybut,B,rowspan,0
532,Chcąc dodać do listy rozwijalnej przedstawionego formularza HTML możliwość zaznaczenia kilku opcji jednocześnie należy w znaczniku select dodać atrybut,C,multiple,1
533,Jak nazywa się metoda dołączania arkusza stylów do dokumentu HTML użyta w przedstawionym kodzie?,C,Styl wpisany lokalny.,1
534,Tekst paragrafu wyśrodkowany w pionie opisuje w CSS reguła,A,vertical-align: middle,0
535,Dla akapitu zdefiniowano styl CSS. Które właściwości stylu CSS poprawnie opisują dla akapitu krój czcionki: Arial; rozmiar czcionki: 16 pt; styl czcionki: pochylenie?,B,p{font-family: Arial; font-size: 16pt; font-style: italic;},0
536,W stylach CSS aby ustalić styl linii obramowania jako linię kreskową należy zastosować wartość,C,dashed,0
537,W CSS symbolem jednostki miary wyrażonej w punktach edytorskich jest,C,pt,0
538,Transformację w stylach CSS polegającą na zamianie tylko pierwszych liter wszystkich wyrazów na wielkie otrzymamy stosując polecenie,B,capitalize,0
539,Podany styl tworzy obramowanie pojedyncze o następujących cechach:,A,krawędź górna jest koloru czerwonego krawędź prawa koloru niebieskiego krawędź dolna koloru zielonego krawędź lewa koloru żółtego.,1
540,Która z operacji nie wpłynie na rozmiar / wielkość zajmowanej pamięci pliku graficznego?,A,Skalowanie obrazu za pomocą atrybutów HTML.,0
541,Bitmapa jest obrazem,A,rastrowym.,0
542,Jednostka ppi (pixels per inch),A,określa rozdzielczość obrazów rastrowych.,0
543,Jaką funkcję pełni kwerenda krzyżowa w bazie MS Access?,D,Prezentuje zliczone wartości z pola i przyporządkowuje je w wiersze i kolumny.,0
544,Funkcja CONCAT() w języku SQL odpowiada za,B,łączenie wyświetlanego tekstu.,0
545,Na podstawie tabeli Towar wykonano następujące zapytanie SQL: Jaki będzie wynik tej operacji?,C,Papier ksero A4 Kredki 24 kolory Zeszyt A5 Zeszyt A5 w linie,1
546,W tabeli produkt znajdują się przedmioty wyprodukowane po 2000 roku z polami nazwa i rok_produkcji. Klauzula SQL wyświetli listę przedmiotów wyprodukowanych,A,w roku 2017.,1
547,Struktura prostych baz danych w których wszystkie dane są przechowywane w jednej tabeli nazywana jest modelem,C,jednorodnym.,0
548,W przedstawionym diagramie bazy danych biblioteka elementy: czytelnik wypozyczenie i ksiazka są,C,encjami.,1
549,W języku zapytań SQL aby dodać do tabeli Towar kolumnę rozmiar typu znakowego o maksymalnej długości 20 znaków należy wykonać polecenie,A,ALTER TABLE Towar ADD rozmiar varchar(20);,0
550,Liczba 0x142 zapisana w kodzie skryptu JavaScript ma postać,D,szesnastkową.,0
551,W aplikacjach internetowych tablice asocjacyjne to tablice w których,A,indeks jest łańcuchem tekstowym.,0
552,Odwołaniem do imienia Agata zawartym w przedstawionej tablicy JavaScript jest element,B,Imiona[3];,1
553,Specjalna metoda danej klasy stosowana w programowaniu obiektowym wywoływana automatycznie podczas tworzenia obiektuktórej podstawowym zadaniem jest zwykle zainicjowanie pól to,C,konstruktor.,0
554,Wskaż poprawny zapis instrukcji zapisanej w języku JavaScript.,A,document.write("Liczba π z dokładnością do 2 miejsc po przecinku ≈ " + 3.14 );,0
555,W języku skryptowym JavaScript operatory: || && należą do grupy operatorów,B,logicznych.,0
556,Wskaż pętlę która w języku JavaScript wyświetli sześć kolejnych liczb parzystych.,B,for(i=2;i<=12;i+=2) {document.write(i);},0
557,Wybierz poprawną definicję funkcji w języku JavaScript.,C,function nazwa_funkcji(argumenty) {instrukcje;},0
558,W języku PHP zapisywanie danych do pliku realizuje funkcja?,B,fputs(),0
559,Plikiem konfiguracyjnym który pozwala na zdefiniowanie ustawień PHP dla całego serwera jest,B,php.ini,0
560,Efektem wykonania przedstawionego kodu PHP jest wyświetlenie komunikatu,B,warunek2,1
561,Ile razy zostanie wykonana pętla zapisana w przedstawionym skrypcie PHP?,C,6,1
562,Jaką wartość zwróci funkcja empty($a); zapisana w języku PHP gdy zmienna $a przyjmie wartość liczbową równą 0?,B,TRUE,0
563,W języku JavaScript funkcja matematyczna Math.pow() służy do wyznaczenia,A,potęgi liczby.,0
564,Jakie wartości muszą przyjmować zmienne w funkcji biblioteki mysqli aby połączyć się z serwerem i bazą danych?,D,adres serwera - $a nazwa bazy danych - $d login - $b hasło - $c,0
565,W którym z bloków należy umieścić warunek pętli?,C,C,1
566,Ile razy należy zapisać instrukcję warunkową aby zaimplementować w języku programowania przedstawiony algorytm?,B,Dwa razy.,1
567,W języku C aby zadeklarować stałą należy użyć,A,const,0
568,Które z wyrażeń logicznych zapisanych w języku C sprawdza czy zmienna o nazwie zm1 należy do przedziału (6 203> ?,C,(zm1 > 6) && (zm1 <= 203),0
569,Kwalifikatory dostępu: private protected i public definiują mechanizm,C,hermetyzacji.,0
570,bool gotowe=true;
cout << gotowe;
Co zostanie wypisane w wyniku wykonania przedstawionych instrukcji?,B,1,0
571,Za pomocą którego słowa kluczowego deklaruje się zmienną w języku JavaScript?,A,var,0
572,Zadaniem przedstawionej pętli jest,C,utworzenie dziesięciu obiektów typu Ksiazka.,1
573,Która z deklaracji funkcji w języku C++ ma parametr wejściowy typu rzeczywistego a zwraca wartość całkowitą?,B,int fun1(float a);,0
574,Jednym z wariantów testów jednostkowych jest analiza ścieżek która polega na,C,określeniu punktu początkowego i końcowego oraz badaniu możliwych dróg pomiędzy tymi punktami.,0
575,Który sposób komentowania w języku PHP pozwala na zapis bloku komentarza w kilku liniach?,C,/* */,0
576,Pole lub zbiór pól jednoznacznie identyfikujący każdy pojedynczy wiersz w tabeli w bazie danych to klucz,B,podstawowy.,0
577,W języku SQL aby zmienić strukturę tabeli np. poprzez dodanie lub usunięcie kolumny należy zastosować polecenie,D,ALTER TABLE,0
578,Atrybut kolumny NOT NULL jest wymagany w przypadku,A,klucza podstawowego.,0
579,Aby za pomocą polecenia SELECT wyświetlić nazwiska osób mieszkających na osiedlu tak aby te nazwiska nie powtarzały się należy zapisać zapytanie w postaci,B,SELECT DISTINCT nazwisko FROM mieszkancy;,0
580,Baza danych zawiera dane multimedialne co wiąże się z przechowywaniem dużych ilości danych binarnych. Do takich danych należy zastosować typ,A,BLOB,0
581,W tabeli Recepta pola Imie i Nazwisko dotyczą pacjenta na którego recepta jest wydana. Którą kwerendę należy zastosować aby dla wszystkich recept uzyskać datę wystawienia recepty oraz imię i nazwisko lekarza wystawiającego?,D,SELECT Lekarz.Imie Lekarz.Nazwisko DataWystawienia FROM Recepta JOIN Lekarz ON Recepta.Lekarz_id = Lekarz.id;,1
582,W bazach danych do prezentacji danych spełniających określone warunki należy utworzyć,A,raport.,0
583,Które polecenie służy do zmiany wartości o jeden w polu RokStudiów w tabeli Studenci dla studentów którzy studiują na roku 1÷4?,D,UPDATE Studenci SET RokStudiow = RokStudiow+1 WHERE RokStudiow < 5;,0
584,Wskaż różnicę pomiędzy poleceniami DROP TABLE i TRUNCATE TABLE.,B,DROP TABLE usuwa tabelę a TRUNCATE TABLE usuwa wszystkie dane pozostawiając pustą tabelę.,0
585,Aby nadać użytkownikowi uprawnienia do tabel w bazie danych należy zastosować polecenie,A,GRANT,0
586,Aby przesłać dane za pomocą funkcji mysqli_query() w skrypcie PHP który wstawia do bazy danych dane pobrane z formularza ze strony internetowej jako jednego z parametrów należy użyć kwerendy,A,INSERT INTO,0
587,Przedstawiony fragment kodu PHP działa poprawnie i ma za zadanie wyświetlić na stronie internetowej dane pobrane kwerendą z bazy danych. Z ilu pól zostaną wyświetlone dane?,C,Z trzech pól.,1
588,Na rysunku przedstawiono strukturę bloków strony internetowej. Który z fragmentów formatowania strony pasuje do takiego układu? (Dla uproszczenia pominięto właściwości koloru tła wysokości i czcionki),B,#pierwszy {float:left; width:30%;}
#drugi {float:left; width:70%;}
#trzeci {float:left; width:70%;}
#czwarty {clear:both; },1
589,Wskaż nazwę Systemu Zarządzania Treścią którego logo zostało przedstawione na rysunku.,B,Joomla!,1
590,Który kod języka HTML da efekt formatowania jak na przedstawionym rysunku?,C,< p > W tym < i > paragrafie < b > zobaczysz < /b > sposoby formatowania < /i > tekstu w HTML < /p >,1
591,Który znacznik należy do znaczników definiujących listy w języku HTML?,D,< ul >,0
592,Który z kodów HTML opisuje przedstawioną tabelę? (Dla uproszczenia pominięto zapis stylu obramowania tabeli i komórek),B,B,1
593,Przedstawione w języku CSS formatowanie czcionki będzie obowiązywać dla,D,całego kodu HTML jako formatowanie domyślne dla wszystkich elementów strony.,1
594,Której właściwości CSS należy użyć aby zdefiniować marginesy wewnętrzne dla elementu?,D,padding,0
595,W kodzie CSS zastosowano formatowanie elementu listy przy czym żadne inne formatowanie CSS nie zostało zdefiniowane. Zastosowane formatowanie sprawi że,B,po najechaniu kursorem na element listy zmieni się kolor tekstu na Maroon.,1
596,Wartości: static relative fixed absolute oraz sticky można przypisać do właściwości,B,position,0
597,Aby dostosować stronę internetową dla niewidomych należy nadać wyświetlanym za pomocą znacznika img obrazom atrybut,A,alt,0
598,Którą czynność należy wykonać podczas obróbki zdjęcia w edytorze grafiki aby białe tło zamienić na przezroczystość?,A,Dodać kanał alfa.,0
599,Aby zwiększyć szybkość działania strony zawierającej grafikę o wymiarach 2000 px na 760 px należy zmniejszyć rozmiary grafiki,A,w programie graficznym.,0
600,Przedstawiona linia kodu została zapisana w języku,D,JavaScript,1
601,Na stronie internetowej znajduje się formularz do którego należy zaprogramować następujące funkcje:
- walidacja: w trakcie wypełniania formularza w czasie rzeczywistym jest sprawdzana poprawność danych
- przesyłanie danych: po wypełnieniu formularza i jego zatwierdzeniu dane są przesyłane do bazy danych na serwerze
Aby zaimplementować tę funkcjonalność w możliwie najprostszy sposób należy zapisać,D,walidację w języku JavaScript a przesyłanie danych w skrypcie PHP.,0
602,Globalne tablice do przechowywania danych o ciastkach i sesjach: $ _ COOKIE oraz $ _ SESSION są częścią języka,C,PHP,0
603,Podczas walidacji dokumentu HTML5 pojawił się komunikat o treści: „Error: Element head is missing a required instance of child element title”. Oznacza to że w dokumencie,C,nie zdefiniowano elementu < title > w części < head > dokumentu.,0
604,Którego protokołu należy użyć aby przesłać pliki strony internetowej na serwer hostingowy?,A,FTP,0
605,Przedstawiony blok reprezentuje czynność,D,podjęcia decyzji.,1
606,Aby zadeklarować pole klasy do którego mają dostęp jedynie metody tej klasy i pole to nie jest dostępne dla klas pochodnych należy użyć kwalifikatora dostępu,B,private.,0
607,Pętla while powinna być wykonywana tak długo jak długo zmienna x będzie przyjmowała wartości z przedziału obustronnie otwartego (-2 5). Zapis tego warunku w nagłówku pętli za pomocą języka PHP ma postać,A,($x > -2) && ($x < 5),0
608,Po wykonaniu się przedstawionego fragmentu kodu języka C/C++ zmiennej o nazwie zmienna2 zostanie,A,przypisany adres zmiennej o nazwie zmienna1.,1
609,W języku PHP float reprezentuje typ,D,zmiennoprzecinkowy.,0
610,Którym słowem kluczowym w języku z rodziny C należy posłużyć się aby przypisać alternatywną nazwę dla istniejącego typu danych?,D,typedef,0
611,Instrukcja for może być zastąpiona instrukcją,B,while,0
612,Przedstawiony kod źródłowy zapisany w języku C++ ma za zadanie dla wprowadzanych dowolnych całkowitych liczb różnych od zera wypisać,C,tylko liczby parzyste,1
613,DOM dostarcza metod i własności które w języku JavaScript pozwalają na,D,pobieranie i modyfikowanie elementów strony wyświetlonej przez przeglądarkę,0
614,Testy dotyczące skalowalności oprogramowania mają za zadanie sprawdzić czy aplikacja,C,potrafi działać przy zakładanym i większym obciążeniu.,0
615,Który z komentarzy opisuje zadanie zdefiniowanej w języku PHP funkcji?,A,/*Funkcjazwracawartośćwyższązdwóchpodanychgdysąrówne zwraca wartość -1 */,1
616,W relacyjnych bazach danych jeżeli dwie tabele są połączone za pomocą ich kluczy głównych mamy do czynienia z relacją,A,1..1,0
617,Normalizacja tabel jest procesem który ma na celu,D,sprawdzenie i optymalizację bazy danych.,0
618,Wbudowanym w pakiet XAMPP narzędziem służącym do zarządzania bazą danych jest,B,phpMyAdmin,0
619,Wskaż zapytanie w którym dane zostały posortowane.,D,SELECT imie nazwisko FROM mieszkancy WHERE wiek > 18 ORDER BY wiek;,0
620,Funkcją agregującą zwracającą liczbę rekordów jest,C,COUNT,0
